1,数据,0,2136,858,COM输出结构：16PMOS
2,数据,0,2088,828,主模式
3,数据,0,2050,802,开启系统振荡器与LED扫描时序生成器
4,数据,0,2064,810,打光闪烁功能
5,数据,0,2054,806,开启LED驱动输出
6,数据,0,10240,2800,往0x00地址写入0x0
7,数据,0,10256,2810,往0x01地址写入0x0
8,数据,0,10272,2820,往0x02地址写入0x0
9,数据,0,10288,2830,往0x03地址写入0x0
10,数据,0,10305,2841,往0x04地址写入0x1（字模为0x8）
11,数据,0,10335,285F,往0x05地址写入0xF（字模为0xF）
12,数据,0,10350,286E,往0x06地址写入0xE（字模为0x7）
13,数据,0,10369,2881,往0x08地址写入0x1（字模为0x8）
14,数据,0,10386,2892,
15,数据,0,10404,28A4,
16,数据,0,10416,28B0,
17,数据,0,10433,28C1,
18,数据,0,10450,28D2,
19,数据,0,10468,28E4,
20,数据,0,10497,2901,
21,数据,0,10514,2912,
22,数据,0,10532,2924,
23,数据,0,10561,2941,
24,数据,0,10578,2952,
25,数据,0,10596,2964,
26,数据,0,10639,298F,----------------
27,数据,0,10655,299F,
28,数据,0,10671,29AF,
29,数据,0,10684,29BC,
30,数据,0,10689,29C1,
31,数据,0,10706,29D2,
32,数据,0,10724,29E4,
33,数据,0,10738,29F2,
34,数据,0,10753,2A01,
35,数据,0,10770,2A12,
36,数据,0,10788,2A24,
37,数据,0,10802,2A32,
38,数据,0,10817,2A41,
39,数据,0,10834,2A52,
40,数据,0,10852,2A64,
41,数据,0,10866,2A72,
42,数据,0,10881,2A81,
43,数据,0,10898,2A92,
44,数据,0,10916,2AA4,
45,数据,0,10930,2AB2,
46,数据,0,10947,2AC3,
47,数据,0,10975,2ADF,
48,数据,0,10990,2AEE,
49,数据,0,10994,2AF2,
50,数据,0,11009,2B01,
51,数据,0,11058,2B32,
52,数据,0,11134,2B7E,
